1 2 3
1 5 15
1 6 8
1 7 946
1 8 1260
1 9 1
1 10 3
1 11 66
1 12 32
1 14 4
1 15 1456
1 16 94
1 17 12
1 18 8
1 19 1714
1 20 16
1 21 798
1 22 110
1 25 1246
1 26 15
1 27 421
1 28 37
1 31 25
1 33 932
1 34 347
1 37 8
1 38 44
1 39 5
1 41 1016
1 42 38
1 45 65
1 46 307
2 7 54
2 8 3
2 9 2
2 10 5
2 15 43
2 19 42
2 25 42
3 35 58
3 4 1547
3 43 3
3 44 358
3 17 220
3 18 163
3 23 889
3 24 1322
3 25 292
3 26 434
3 36 130
4 5 1695
4 6 12
4 17 412
4 18 24
4 20 233
4 21 1
4 22 213
4 23 601
4 24 1387
4 25 11126
4 26 9690
4 27 1334
4 28 1683
4 33 67
4 34 9
4 35 1929
4 36 2499
4 38 6
4 41 51
4 42 58
4 43 158
4 44 19
5 14 41
5 15 3
5 19 209
5 20 346
5 21 1857
5 22 2099
5 25 648
5 26 1451
5 27 10094
5 28 10216
5 29 7947
5 30 3277
5 31 218
5 33 228
5 35 2256
5 36 3283
5 37 35
5 39 201
5 41 5874
5 42 2059
5 45 17
5 47 4325
5 48 3301
6 34 416
6 33 10
6 42 47
6 15 8
6 17 325
6 18 1227
6 19 565
6 20 850
6 25 156
6 26 643
7 33 366
7 37 1387
7 39 13
7 8 603
7 41 1644
7 34 91
7 46 90
7 15 5905
7 19 3817
7 21 538
7 25 3463
7 27 777
8 33 66
8 38 74
8 40 6
8 41 183
8 42 2382
8 39 1
8 34 2316
8 46 421
8 15 292
8 16 5292
8 19 302
8 20 3098
8 21 85
8 22 1279
8 25 251
8 26 3361
8 27 109
8 28 816
9 11 1
11 13 14
12 14 26
13 19 5
13 25 5
13 15 13
14 16 154
14 38 192
15 17 27
15 18 16
15 19 8999
15 20 1
15 21 900
15 25 8121
15 27 1321
15 31 5
15 33 564
15 34 141
15 37 2436
15 39 24
15 41 2429
15 45 6
15 46 133
16 34 2420
16 38 1753
16 42 3065
16 46 229
16 40 42
16 20 7494
16 22 1404
16 26 7384
16 28 931
17 34 684
17 33 3290
17 41 415
17 43 987
17 18 2630
17 19 2569
17 20 162
17 23 1814
17 25 3443
17 26 1
18 34 2280
18 33 727
18 42 426
18 43 17
18 44 489
18 19 2073
18 20 1487
18 24 1451
18 25 955
18 26 3345
18 28 2
19 20 176
19 21 2420
19 25 18849
19 26 77
19 27 3917
19 33 3506
19 34 528
19 37 105
19 39 28
19 41 5724
19 42 11
19 43 340
19 46 135
20 34 2203
20 42 4175
20 44 40
20 22 2653
20 40 43
20 25 138
20 26 14418
20 38 107
20 28 3056
20 36 1
21 34 15
21 27 5355
21 37 616
21 33 1258
21 41 1551
21 45 50
21 46 15
21 25 513
21 47 566
21 29 865
21 39 1205
21 31 486
22 32 608
22 34 2197
22 36 2
22 38 413
22 48 100
22 40 1120
22 42 4102
22 46 17
22 30 265
22 25 120
22 26 1985
22 27 9
22 28 6728
23 33 1282
23 41 103
23 43 1339
23 25 2249
24 34 1132
24 42 174
24 44 447
24 36 122
24 26 5537
24 28 16
25 26 4940
25 27 4097
25 28 516
25 33 8393
25 34 375
25 35 703
25 36 135
25 37 1
25 39 22
25 41 9616
25 42 3
25 43 2344
25 46 128
26 27 559
26 28 4588
26 34 7489
26 35 28
26 36 1290
26 38 100
26 40 6
26 42 9394
26 43 7
26 44 2826
27 28 2019
27 29 4296
27 30 143
27 31 231
27 33 758
27 34 27
27 35 1235
27 36 152
27 37 604
27 39 967
27 41 7868
27 45 4
27 46 27
27 47 1684
27 48 656
28 29 73
28 30 4392
28 32 189
28 34 2665
28 35 577
28 36 1403
28 38 434
28 40 907
28 41 78
28 42 15330
28 47 2
28 48 2394
29 33 235
29 35 758
29 36 345
29 39 224
29 41 8941
29 45 49
29 47 4105
29 48 158
29 31 309
30 32 107
30 35 1
30 36 115
30 42 5657
30 48 3314
31 39 455
31 41 29
31 45 144
31 47 196
31 33 639
32 34 748
32 40 360
32 42 123
32 46 75
32 48 99
33 34 237
33 39 235
33 41 7565
33 43 214
33 45 362
33 46 58
33 47 162
34 40 91
34 41 127
34 42 8339
34 44 296
34 46 849
35 41 758
35 47 578
35 48 664
35 36 207
36 41 345
36 42 117
36 47 114
36 48 836
37 41 150
37 39 429
38 40 298
38 42 385
39 41 103
39 45 70
39 47 167
40 42 884
40 46 227
41 43 92
41 45 2
41 46 126
41 47 3346
41 48 158
42 44 46
42 48 1715
45 47 32
47 48 65
