1 2 3
1 38 8
1 7 243
1 8 472
1 10 5
1 12 62
1 46 7
1 16 9
1 19 26
1 20 1
1 22 48
1 25 26
1 26 1
1 28 1
2 8 4
2 10 14
2 7 6
3 33 344
3 34 4
3 35 479
3 36 104
3 41 21
3 43 102
3 17 213
3 18 148
3 23 2942
3 24 1813
3 25 1051
3 26 15
3 4 2905
4 5 1917
4 6 396
4 14 4
4 16 4
4 17 361
4 18 557
4 20 311
4 21 19
4 23 1845
4 24 1527
4 25 11717
4 26 9386
4 27 853
4 28 2211
4 33 176
4 34 20
4 35 1868
4 36 1031
4 37 18
4 39 19
4 41 6
4 42 1
4 43 419
4 44 542
4 48 6
5 6 45
5 13 45
5 15 80
5 18 4
5 19 276
5 20 134
5 21 619
5 22 217
5 24 7
5 25 2524
5 26 1100
5 27 9564
5 28 10458
5 29 2988
5 30 4241
5 32 2
5 35 2550
5 36 3394
5 37 50
5 38 63
5 39 1
5 41 670
5 42 2102
5 44 10
5 47 2106
5 48 3125
6 33 183
6 34 76
6 42 11
6 45 14
6 46 8
6 16 23
6 17 1126
6 18 535
6 19 1355
6 20 1024
6 14 11
6 25 1720
6 26 1038
6 28 4
7 33 1
7 41 21
7 15 1332
7 19 390
7 21 68
7 25 390
7 27 17
8 32 8
8 38 653
8 42 12
8 34 260
8 46 116
8 16 5554
8 20 3598
8 22 1090
8 26 3584
8 28 875
10 12 2
12 14 8
13 25 7
13 19 7
13 15 20
14 38 31
14 16 182
14 20 117
14 22 6
14 25 9
14 26 158
14 28 8
15 33 35
15 39 5
15 41 104
15 17 2
15 19 7482
15 21 491
15 25 7371
15 27 204
15 37 1357
16 32 36
16 34 810
16 38 1356
16 42 22
16 20 9399
16 46 179
16 22 1816
16 25 18
16 26 9284
16 28 1399
16 30 2
17 33 1492
17 34 100
17 42 11
17 43 711
17 45 14
17 46 8
17 18 983
17 19 1871
17 20 494
17 23 1929
17 25 2556
17 26 163
18 33 62
18 34 1002
18 42 38
18 44 1122
18 46 11
18 19 452
18 20 864
18 24 1318
18 25 360
18 26 1632
18 36 7
19 20 669
19 21 3629
19 23 3
19 25 19090
19 26 161
19 27 4117
19 33 835
19 34 67
19 37 761
19 39 6
19 41 727
19 42 11
19 43 438
19 45 57
19 46 8
20 22 3652
20 24 4
20 25 1026
20 26 20150
20 28 4332
20 30 43
20 32 4
20 33 44
20 34 1497
20 38 113
20 42 1364
20 44 526
20 46 49
21 33 2002
21 27 8958
21 37 1503
21 31 248
21 41 592
21 39 1934
21 45 302
21 25 4906
21 47 552
21 29 1335
22 32 119
22 34 1650
22 38 1041
22 48 56
22 42 994
22 40 1745
22 26 3401
22 28 9204
22 30 658
23 33 2615
23 41 1993
23 43 1090
23 35 11
23 25 6751
23 27 77
24 34 662
24 36 9
24 42 34
24 44 834
24 26 4024
24 28 1
25 26 4463
25 27 8286
25 28 1320
25 33 5433
25 34 31
25 35 185
25 37 1591
25 39 743
25 41 4249
25 42 11
25 43 2199
25 44 106
25 45 26
25 46 5
25 47 110
25 48 22
26 27 80
26 28 7795
26 30 3
26 32 4
26 33 1
26 34 5392
26 35 6
26 36 14
26 38 147
26 42 6944
26 44 2365
26 46 9
27 33 1951
27 35 1340
27 36 1025
27 39 1984
27 31 239
27 41 5290
27 45 264
27 48 226
27 47 5279
27 28 2555
27 29 6294
27 37 1484
28 30 3677
28 32 159
28 34 1560
28 35 958
28 36 1962
28 38 1064
28 40 1629
28 42 7337
28 48 3235
29 33 360
29 39 553
29 41 3272
29 45 36
29 47 2744
29 31 148
30 32 375
30 48 2837
30 34 116
30 38 1
30 40 122
30 42 4944
31 33 295
31 39 127
31 45 129
31 47 26
32 34 240
32 42 39
32 46 2
32 48 445
32 40 69
33 34 23
33 39 282
33 41 186
33 43 429
33 45 766
33 46 2
34 40 101
34 42 3115
34 44 1183
34 46 273
35 36 1340
35 48 1
36 44 10
36 48 27
37 39 414
37 41 15
38 40 185
38 42 7
39 41 5
39 45 50
39 47 286
40 42 168
41 45 2
41 47 1304
42 44 29
42 48 2065
